title,location,time_interval,salary_type,salary
Ethereum Developer Remote US (Blockchain-DeFi),Anywhere,a year,min_salary,100000.0
Senior Software Engineer - Blockchain Network (100% Remote),Anywhere,a year,min_salary,150000.0
Blockchain Developer,United States,a year,min_salary,136000.0
AI Machine Learning Intern,Anywhere,a year,min_salary,53300.0
Data Scientist - Natural Language Processing (remote),Anywhere,a year,min_salary,110000.0
Natural Language Processing Scientist,United States,a year,min_salary,130000.0
Data Scientist - Natural Language Processing (REMOTE),"Chevy Chase, MD",a year,min_salary,120000.0
Blockchain Content Writer,Anywhere,a year,min_salary,50000.0
"Machine Learning Engineer, Jr-Mid level, Design Deep Learning...",Anywhere,a year,min_salary,100000.0
Sr. Algorithm Engineer - ML/NN Research expertise,"Santa Clara, CA",a year,min_salary,130000.0
Machine Learning Engineer - Motion Planning (Remote),United States,a year,min_salary,120000.0
"ML Engineer, Deep Learning & NLP","San Francisco, CA",a year,min_salary,80000.0
Postdoctoral Machine Learning Systems Engineer,Anywhere,a year,min_salary,150000.0
Cleared Data Scientist,"McLean, VA",a year,min_salary,458.0
Supervisory Biologist (Computational...,"Beltsville, MD",a year,min_salary,368.0
Machine Learning Engineer (Remote),Anywhere,a year,min_salary,140000.0
Deep Learning Engineer,"Palo Alto, CA",a year,min_salary,140000.0
"Machine Learning Engineer – Neural Network Optimization, Autopilot AI","Palo Alto, CA",a year,min_salary,120000.0
Deep learning/Machine Learning developers,"Boston, MA",a year,min_salary,80000.0
Post-Doc Researcher for Natural Language Processing,"Sunnyvale, CA",a year,min_salary,100000.0
"Go Engineer, Blockchain, US Remote",Anywhere,a year,min_salary,100000.0
Machine Learning Engineer (Remote),Anywhere,a year,min_salary,95000.0
Machine Learning Infrastructure Engineer,"Culver City, CA",a year,min_salary,93800.0
"Cloud Consultant, Big Data and Analytics, Google Cloud","Reston, VA",a year,min_salary,120000.0
"Machine Learning Manager, Stories Ranking (Seattle, WA)","Seattle, WA",a year,min_salary,196000.0
Blockchain Developer,Anywhere,a year,min_salary,60000.0
Data Scientist - Natural Language Processing (remote),Anywhere,a year,min_salary,110000.0
Data Scientist - Natural Language Processing (REMOTE),"Chevy Chase, MD",a year,min_salary,120000.0
Natural Language Processing Scientist,United States,a year,min_salary,130000.0
Data Analyst,United States,a year,min_salary,75000.0
Principal Machine Learning Engineer (Remote),Anywhere,a year,min_salary,182000.0
Machine Learning Engineer III,"Seattle, WA",a year,min_salary,206000.0
"Principal Machine Learning Engineer, New Initiatives (Remote)",Anywhere,a year,min_salary,221000.0
Staff Data Scientist | Reinforcement Learning,"Sunnyvale, CA",a year,min_salary,160000.0
"Machine Learning Engineer, Jr-Mid level, Design Deep Learning...",Anywhere,a year,min_salary,100000.0
Deep Learning Engineer,"Palo Alto, CA",a year,min_salary,140000.0
Deep learning/Machine Learning developers,"Boston, MA",a year,min_salary,80000.0
Lead Data Scientist,"Colorado Springs, CO",a year,min_salary,98900.0
Data Scientist - Credit Risk,"Irving, TX",a year,min_salary,121000.0
"Staff Data Scientist, Ad Formats & Optimization Analytics (Remote)",Anywhere,a year,min_salary,184000.0
Data Scientist,Anywhere,a year,min_salary,100000.0
Ionosphere Phase Estimation for InSAR Time Series Analyses,"Pasadena, CA",a year,min_salary,80000.0
Deep Learning Engineer,"Teaneck, NJ",a year,min_salary,130000.0
